model,condition,samples,audio_seconds,inference_seconds,real_time_factor,mean_first_token_ms,wer_percent,peak_allocated_gb
LiquidAI/LFM2.5-Audio-1.5B,clean,18,178.68499999999997,12.348753215999864,0.06910906464448535,101.7475057777675,2.857142857142857,3.14025728
LiquidAI/LFM2.5-Audio-1.5B,gaussian_10db,18,178.68499999999997,11.505561842999782,0.06439019415731474,55.25314027777818,6.428571428571428,3.14025728
LiquidAI/LFM2.5-Audio-1.5B,competing_speech_5db,18,178.68499999999997,13.279138408000108,0.07431591016593508,55.60831905556066,55.714285714285715,3.14025728
openai/whisper-tiny,clean,18,178.685,1.3752548549999801,0.007696532193524807,,11.428571428571429,0.174286336
openai/whisper-tiny,gaussian_10db,18,178.685,1.0354512710000563,0.005794841598343769,,21.666666666666668,0.174523904
openai/whisper-tiny,competing_speech_5db,18,178.685,1.2059218299999657,0.006748869966700986,,71.9047619047619,0.174523904
openai/whisper-base,clean,18,178.685,1.4177034130000266,0.007934093029633302,,8.80952380952381,0.2994304
openai/whisper-base,gaussian_10db,18,178.685,1.421089527999925,0.007953043221310825,,20.714285714285715,0.299432448
openai/whisper-base,competing_speech_5db,18,178.685,1.7478795030000356,0.009781903925903324,,55.00000000000001,0.299432448
openai/whisper-small,clean,18,178.685,2.6658241869999983,0.014919126882502718,,7.142857142857142,0.900499968
openai/whisper-small,gaussian_10db,18,178.685,2.57514161600011,0.014411627254666647,,10.714285714285714,0.900502016
openai/whisper-small,competing_speech_5db,18,178.685,2.694900437000001,0.015081850390351743,,31.428571428571427,0.900502016
